capitulo,articulo,contenido
CAPÍTULO I,Artículo 1.1," Quienes deseen ser admitidos como alumnos en el Tecnológico de Monterrey deberán demostrar alta probabilidad de éxito académico, para lo cual se considerarán en la decisión de admisión los siguientes criterios:  1.	Resultado de la prueba de admisión. 2.	Trayectoria académica previa. 3.	Logros (académicos, de liderazgo, culturales, deportivos, personales, etc.).  En el caso de alumnos que participen en programas de doble titulación o grado conjunto establecidos con universidades extranjeras, se consideran como equivalentes los procesos de admisión de cada una de dichas instituciones extranjeras para los alumnos extranjeros participantes en el programa. Esta consideración será válida también para los alumnos de transferencia externa, de acuerdo con la definición contenida en el apartado de definiciones generales. "
CAPÍTULO I,Artículo 1.2," Para ser admitidos en el nivel profesional en el Tecnológico de Monterrey, todos los alumnos deberán entregar la documentación requerida por la Institución, cumplir con los requisitos establecidos para cursar la carrera de su elección y cumplir con los requisitos legales vigentes en el país. Los solicitantes que hayan cursado estudios de enseñanza media en el extranjero deberán cumplir con los requisitos legales que correspondan para el reconocimiento de dichos estudios en México. "
CAPÍTULO I,Artículo 1.3," La fecha límite para entregar la documentación requerida por la Institución, incluyendo los documentos que acreditan estudios completos del nivel académico anterior, es de sesenta días naturales después del primer día de clases del primer periodo escolar en que se inscriba como estudiante. En caso de que dichos documentos no sean presentados en la fecha límite expresada, el Tecnológico de Monterrey procederá a darlo de baja.   "
CAPÍTULO I,Artículo 1.4," Un alumno que suspenda su inscripción académica por más de un periodo académico semestral o trimestral y que solicite su admisión nuevamente, será sujeto al reglamento de admisión vigente. "
CAPÍTULO I,Artículo 1.5," Los solicitantes admitidos deberán comprobar los conocimientos requeridos para el área de exploración o carrera de su elección. La Institución establece los procedimientos de evaluación inicial y define los exámenes externos o criterios alternativos para comprobar estos conocimientos.  Los alumnos que no demuestren estos conocimientos recibirán una recomendación de acciones a tomar para fortalecer los conocimientos requeridos, y si así lo deciden, podrán inscribirse en las unidades de formación de nivel introductorio ofrecidas por la Institución para ese propósito. A partir de ese momento dichas unidades de formación de nivel introductorio, formarán parte del plan de estudios del alumno. "
CAPÍTULO I,Artículo 1.6," Los alumnos que hayan sido dados de baja en forma definitiva por bajo rendimiento académico en cualquier campus del Tecnológico de Monterrey no podrán ser readmitidos al mismo nivel en la Institución.  En el caso de aquellos alumnos que hayan sido dados de baja de forma definitiva por faltas a la integridad académica, no podrán ser readmitidos en el Tecnológico de Monterrey.                               "
CAPÍTULO II,Artículo 2.1," Las unidades de formación de profesional son impartidas en periodos semestrales, con excepción de los programas del área de Salud que incluyan actividades clínicas, los cuales podrán impartirse en periodos semestrales o trimestrales. "
CAPÍTULO II,Artículo 2.2, Durante el periodo intensivo de verano o invierno se ofrecen algunas unidades de formación de los planes de estudio vigentes. Estas unidades de formación deben comprender un número de horas totales de trabajo académico igual al de una unidad de formación impartida en periodos semestrales. 
CAPÍTULO II,Artículo 2.3," Las unidades de formación de Semana Tec en las carreras profesionales consisten en una semana dentro del semestre regular de clases, en la que los alumnos deben realizar actividades académicas para desarrollar o fortalecer competencias. Los alumnos inscritos en el período académico semestral deben cursar tres Semanas Tec, hasta que acrediten al menos las Semanas Tec establecidas como requisito de graduación.                                 "
CAPÍTULO III,Artículo 3.1," Para hacer válidas, en el Tecnológico de Monterrey, las materias aprobadas fuera del Tecnológico de Monterrey por un determinado alumno, se utilizan los términos legales de revalidación de estudios efectuados en una institución extranjera; equivalencia de estudios efectuados en una institución mexicana distinta del Tecnológico de Monterrey, y acreditación de unidades de formación aprobadas y reprobadas en el propio Tecnológico o en universidades con las que se tiene convenio de colaboración.  El Tecnológico de Monterrey, a petición del solicitante, tramitará las propuestas de revalidación y equivalencia (de estudios parciales) ante la Secretaría de Educación Pública. Las solicitudes estarán sujetas a su evaluación y –en su caso– autorización. Estos trámites también podrán ser realizados directamente por el solicitante ante la Secretaría de Educación Pública. En este caso, las unidades de formación a revalidar o hacer equivalentes serán determinadas por el Tecnológico de Monterrey.  En el caso de revalidación y equivalencia de estudios totales, el trámite y dictamen es efectuado únicamente por la Secretaría de Educación Pública.  El dictamen o resolución de revalidación o equivalencia de estudios no podrá ser modificado después de transcurrido el primer semestre de inscripción del alumno a su área de exploración o carrera en el Tecnológico de Monterrey. Solo podrá revisarse la resolución de revalidación o equivalencia, y, en su caso, modificarse en los cambios de área de exploración o carrera. "
